"set","qnum","id","difficulty","answer","img","skill","domain","fmt"
"Linear Equations in One Variable 2","2.2","aa85b138","478","B","Linear_Equations_in_One_Variable_2/q_02.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.3","15daa8d6","242","2","Linear_Equations_in_One_Variable_2/q_03.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 2","2.4","12ee1edc","425","A","Linear_Equations_in_One_Variable_2/q_04.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.5","70e29454","452","B","Linear_Equations_in_One_Variable_2/q_05.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.6","f09097b1","364","22.4","Linear_Equations_in_One_Variable_2/q_06.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 2","2.7","4f669597","274","1.2","Linear_Equations_in_One_Variable_2/q_07.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 2","2.8","ce314070","489","D","Linear_Equations_in_One_Variable_2/q_08.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.9","36ab4122","443","B","Linear_Equations_in_One_Variable_2/q_09.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.10","5ad9eff0","444","B","Linear_Equations_in_One_Variable_2/q_10.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.11","45bba652","409","A","Linear_Equations_in_One_Variable_2/q_11.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.12","eafdbbbd","395","C","Linear_Equations_in_One_Variable_2/q_12.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.13","8c515062","393","D","Linear_Equations_in_One_Variable_2/q_13.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.14","ce6b52d8","218","60","Linear_Equations_in_One_Variable_2/q_14.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 2","2.15","620abf36","369","C","Linear_Equations_in_One_Variable_2/q_15.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.16","76f29fa5","437","C","Linear_Equations_in_One_Variable_2/q_16.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.17","feb78194","270","37","Linear_Equations_in_One_Variable_2/q_17.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 2","2.18","018a2704","381","C","Linear_Equations_in_One_Variable_2/q_18.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 2","2.19","9d4270fe","499","A","Linear_Equations_in_One_Variable_2/q_19.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.1","2937ef4f","491","D","Linear_Equations_in_One_Variable_3/q_01.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.2","b7e6394d","562","D","Linear_Equations_in_One_Variable_3/q_02.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.3","e6cb2402","243","16/17","Linear_Equations_in_One_Variable_3/q_03.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 3","3.4","ae2287e2","542","A","Linear_Equations_in_One_Variable_3/q_04.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.5","771bd0ca","242","-22","Linear_Equations_in_One_Variable_3/q_05.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 3","3.6","90095507","1022","B","Linear_Equations_in_One_Variable_3/q_06.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.7","0cb57740","421","B","Linear_Equations_in_One_Variable_3/q_07.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.8","aee9fd2d","370","B","Linear_Equations_in_One_Variable_3/q_08.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.9","3f8a701b","520","D","Linear_Equations_in_One_Variable_3/q_09.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.10","628300a9","542","C","Linear_Equations_in_One_Variable_3/q_10.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.11","38bf4e04","442","D","Linear_Equations_in_One_Variable_3/q_11.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.12","25e1cfed","368","C","Linear_Equations_in_One_Variable_3/q_12.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.13","f5ff91b2","382","B","Linear_Equations_in_One_Variable_3/q_13.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.14","429fb7c0","218","-49/150","Linear_Equations_in_One_Variable_3/q_14.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in One Variable 3","3.15","f14484a5","499","D","Linear_Equations_in_One_Variable_3/q_15.jpg","Linear Equations in One Variable","Algebra","MCQ"
"Linear Equations in One Variable 3","3.16","ac472881","243","403","Linear_Equations_in_One_Variable_3/q_16.jpg","Linear Equations in One Variable","Algebra","SPR"
"Linear Equations in Two Variables 1","1.1","ee846db7","442","A","Linear_Equations_in_Two_Variables_1/q_01.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.2","5b8a8475","378","A","Linear_Equations_in_Two_Variables_1/q_02.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.3","b23bba4c","499","B","Linear_Equations_in_Two_Variables_1/q_03.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.4","87322577","452","C","Linear_Equations_in_Two_Variables_1/q_04.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.5","c6b151d4","445","A","Linear_Equations_in_Two_Variables_1/q_05.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.6","8c98c834","450","B","Linear_Equations_in_Two_Variables_1/q_06.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.7","b2845d88","570","A","Linear_Equations_in_Two_Variables_1/q_07.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.8","b450ab03","421","B","Linear_Equations_in_Two_Variables_1/q_08.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.9","8368afd1","860","B","Linear_Equations_in_Two_Variables_1/q_09.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.10","8adf1335","472","B","Linear_Equations_in_Two_Variables_1/q_10.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.11","dd797fe2","452","C","Linear_Equations_in_Two_Variables_1/q_11.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.12","789975b7","521","B","Linear_Equations_in_Two_Variables_1/q_12.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.13","2554b413","431","A","Linear_Equations_in_Two_Variables_1/q_13.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.14","52a8ef85","394","B","Linear_Equations_in_Two_Variables_1/q_14.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.15","dfa45424","496","D","Linear_Equations_in_Two_Variables_1/q_15.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.16","520e6f5b","860","A","Linear_Equations_in_Two_Variables_1/q_16.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.17","b2de69bd","628","A","Linear_Equations_in_Two_Variables_1/q_17.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.18","c5479c1a","393","D","Linear_Equations_in_Two_Variables_1/q_18.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.19","1efd8202","916","A","Linear_Equations_in_Two_Variables_1/q_19.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.20","b9839f9e","502","B","Linear_Equations_in_Two_Variables_1/q_20.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.21","f40552a9","802","D","Linear_Equations_in_Two_Variables_1/q_21.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.22","12ae3452","242","14","Linear_Equations_in_Two_Variables_1/q_22.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 1","1.23","8b2a2a63","219","-32","Linear_Equations_in_Two_Variables_1/q_23.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 1","1.24","8da536c6","488","C","Linear_Equations_in_Two_Variables_1/q_24.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.25","8a1544f1","662","B","Linear_Equations_in_Two_Variables_1/q_25.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.26","535fa6e6","418","D","Linear_Equations_in_Two_Variables_1/q_26.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.27","39571c77","414","A","Linear_Equations_in_Two_Variables_1/q_27.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.28","1fe778dc","397","B","Linear_Equations_in_Two_Variables_1/q_28.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.29","6a12efbb","246","15","Linear_Equations_in_Two_Variables_1/q_29.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 1","1.30","d1042cf8","419","D","Linear_Equations_in_Two_Variables_1/q_30.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.31","029c2dc2","421","D","Linear_Equations_in_Two_Variables_1/q_31.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.32","39617468","499","C","Linear_Equations_in_Two_Variables_1/q_32.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.33","cea27ab2","629","A","Linear_Equations_in_Two_Variables_1/q_33.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 1","1.34","4d8ccb96","437","B","Linear_Equations_in_Two_Variables_1/q_34.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.1","002dba45","220","3/17","Linear_Equations_in_Two_Variables_2/q_01.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.2","9c7741c6","329","3","Linear_Equations_in_Two_Variables_2/q_02.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.3","d62ad380","651","C","Linear_Equations_in_Two_Variables_2/q_03.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.4","431c3038","466","D","Linear_Equations_in_Two_Variables_2/q_04.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.5","265f2a53","404","C","Linear_Equations_in_Two_Variables_2/q_05.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.6","f81a0503","374","D","Linear_Equations_in_Two_Variables_2/q_06.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.7","28c2253f","883","C","Linear_Equations_in_Two_Variables_2/q_07.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.8","2e1a7f66","420","A","Linear_Equations_in_Two_Variables_2/q_08.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.9","6f6dfe3e","554","A","Linear_Equations_in_Two_Variables_2/q_09.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.10","9ed4c1a2","220","13.75","Linear_Equations_in_Two_Variables_2/q_10.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.11","fb43b85f","219","18/11","Linear_Equations_in_Two_Variables_2/q_11.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.12","400798d6","447","C","Linear_Equations_in_Two_Variables_2/q_12.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.13","ca452900","226","5/13","Linear_Equations_in_Two_Variables_2/q_13.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.14","62ef6f73","442","C","Linear_Equations_in_Two_Variables_2/q_14.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.15","637022d2","442","A","Linear_Equations_in_Two_Variables_2/q_15.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.16","c307283c","800","C","Linear_Equations_in_Two_Variables_2/q_16.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.17","00b9bd37","710","B","Linear_Equations_in_Two_Variables_2/q_17.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.18","c39dbbdf","381","B","Linear_Equations_in_Two_Variables_2/q_18.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.19","0d1b1e35","437","A","Linear_Equations_in_Two_Variables_2/q_19.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.20","df78b361","410","C","Linear_Equations_in_Two_Variables_2/q_20.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.21","606cdce7","651","A","Linear_Equations_in_Two_Variables_2/q_21.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.22","7625073d","243","49","Linear_Equations_in_Two_Variables_2/q_22.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.23","3c03cbd8","480","A","Linear_Equations_in_Two_Variables_2/q_23.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 2","2.24","1087f6c4","328","0.25","Linear_Equations_in_Two_Variables_2/q_24.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 2","2.25","9b0a4eae","860","C","Linear_Equations_in_Two_Variables_2/q_25.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.1","3cdbf026","504","A","Linear_Equations_in_Two_Variables_3/q_01.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.2","fdee0fbf","280","74","Linear_Equations_in_Two_Variables_3/q_02.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.3","0b46bad5","752","C","Linear_Equations_in_Two_Variables_3/q_03.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.4","c362c210","568","1.5","Linear_Equations_in_Two_Variables_3/q_04.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.5","98d3393a","497","A","Linear_Equations_in_Two_Variables_3/q_05.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.6","0366d965","420","30","Linear_Equations_in_Two_Variables_3/q_06.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.7","c4ea43ef","615","B","Linear_Equations_in_Two_Variables_3/q_07.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.8","cb58833c","268","1.25","Linear_Equations_in_Two_Variables_3/q_08.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.9","a7a14e87","464","D","Linear_Equations_in_Two_Variables_3/q_09.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.10","a1fd2304","239","1.5","Linear_Equations_in_Two_Variables_3/q_10.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.11","49800634","543","D","Linear_Equations_in_Two_Variables_3/q_11.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.12","5b7599a6","926","C","Linear_Equations_in_Two_Variables_3/q_12.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.13","184ce5aa","397","D","Linear_Equations_in_Two_Variables_3/q_13.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.14","d0e614a6","933","D","Linear_Equations_in_Two_Variables_3/q_14.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.15","9bbce683","557","D","Linear_Equations_in_Two_Variables_3/q_15.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.16","2d54c272","290","40","Linear_Equations_in_Two_Variables_3/q_16.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.17","b9835972","243","24","Linear_Equations_in_Two_Variables_3/q_17.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.18","94b48cbf","403","D","Linear_Equations_in_Two_Variables_3/q_18.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.19","05bb1af9","805","A","Linear_Equations_in_Two_Variables_3/q_19.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.20","abcd0004","631","B","Linear_Equations_in_Two_Variables_3/q_20.jpg","Linear Equations in Two Variables","Algebra","MCQ"
"Linear Equations in Two Variables 3","3.21","db422e7f","218","0.5","Linear_Equations_in_Two_Variables_3/q_21.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Equations in Two Variables 3","3.22","6d8ad460","700","1.2","Linear_Equations_in_Two_Variables_3/q_22.jpg","Linear Equations in Two Variables","Algebra","SPR"
"Linear Functions 1","1.1","84664a7c","528","A","Linear_Functions_1/q_01.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.2","06fc1726","470","C","Linear_Functions_1/q_02.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.3","6863c7ce","424","C","Linear_Functions_1/q_03.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.4","bf36c815","436","D","Linear_Functions_1/q_04.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.5","3f5375d9","671","A","Linear_Functions_1/q_05.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.6","13294295","836","B","Linear_Functions_1/q_06.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.7","12983c1e","497","C","Linear_Functions_1/q_07.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.8","f79fffba","369","A","Linear_Functions_1/q_08.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.9","3462d850","452","C","Linear_Functions_1/q_09.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.10","255996a6","502","B","Linear_Functions_1/q_10.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.11","a1696f3e","436","C","Linear_Functions_1/q_11.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.12","13909d78","369","D","Linear_Functions_1/q_12.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.13","de6fe450","476","C","Linear_Functions_1/q_13.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.14","cee5b352","421","D","Linear_Functions_1/q_14.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.15","81390d6c","372","B","Linear_Functions_1/q_15.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.16","2eef7e61","538","B","Linear_Functions_1/q_16.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.17","0ea7ef01","862","C","Linear_Functions_1/q_17.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.18","1ecaa9c0","443","A","Linear_Functions_1/q_18.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.19","8643d906","493","C","Linear_Functions_1/q_19.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.20","a8e6bd75","1091","D","Linear_Functions_1/q_20.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.21","fe6f9678","395","C","Linear_Functions_1/q_21.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.22","930c2990","948","C","Linear_Functions_1/q_22.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.23","d11910d6","875","C","Linear_Functions_1/q_23.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.24","fe287f7e","419","C","Linear_Functions_1/q_24.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.25","4702da8f","391","B","Linear_Functions_1/q_25.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.26","b51c173d","419","D","Linear_Functions_1/q_26.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.27","27198699","443","A","Linear_Functions_1/q_27.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.28","0d6ab461","415","D","Linear_Functions_1/q_28.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.29","6efcc0a3","372","A","Linear_Functions_1/q_29.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.30","a73a5c22","369","D","Linear_Functions_1/q_30.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.31","0eae6be1","374","D","Linear_Functions_1/q_31.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.32","a9039591","552","A","Linear_Functions_1/q_32.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.33","a4d6fbec","218","50","Linear_Functions_1/q_33.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 1","1.34","a396ed75","398","D","Linear_Functions_1/q_34.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.35","1993561d","413","A","Linear_Functions_1/q_35.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.36","97eab129","600","B","Linear_Functions_1/q_36.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.37","9d9fe1e6","474","A","Linear_Functions_1/q_37.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 1","1.38","7b17f86a","223","1","Linear_Functions_1/q_38.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 1","1.39","7fac16fb","221","69","Linear_Functions_1/q_39.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.1","e62cfe5f","291","2.6","Linear_Functions_2/q_01.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.2","7e3f8363","397","C","Linear_Functions_2/q_02.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.3","620fe971","478","A","Linear_Functions_2/q_03.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.4","5cf1bbc9","799","A","Linear_Functions_2/q_04.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.5","dae126d7","539","D","Linear_Functions_2/q_05.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.6","271f7e3f","573","B","Linear_Functions_2/q_06.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.7","c651cc56","486","B","Linear_Functions_2/q_07.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.8","c22b5f25","480","C","Linear_Functions_2/q_08.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.9","11e1ab81","633","A","Linear_Functions_2/q_09.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.10","4fe4fd7c","370","3500","Linear_Functions_2/q_10.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.11","3122fc7b","263","257","Linear_Functions_2/q_11.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.12","c01f4a95","243","39","Linear_Functions_2/q_12.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.13","868fc236","588","B","Linear_Functions_2/q_13.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.14","042aa429","369","C","Linear_Functions_2/q_14.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.15","113b938e","575","C","Linear_Functions_2/q_15.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.16","441558e7","442","A","Linear_Functions_2/q_16.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.17","8a6de407","250","2","Linear_Functions_2/q_17.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.18","41fdc0b8","530","A","Linear_Functions_2/q_18.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.19","1c29bfd1","441","A","Linear_Functions_2/q_19.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.20","295a41f0","875","B","Linear_Functions_2/q_20.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.21","2f34cd1c","441","B","Linear_Functions_2/q_21.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.22","f0773a55","831","A","Linear_Functions_2/q_22.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.23","23dedddd","372","D","Linear_Functions_2/q_23.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.24","a775af14","397","C","Linear_Functions_2/q_24.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.25","b2fe7ab6","611","D","Linear_Functions_2/q_25.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.26","a91a2b75","243","9","Linear_Functions_2/q_26.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 2","2.27","af711d1b","611","C","Linear_Functions_2/q_27.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 2","2.28","17d80dc3","219","7","Linear_Functions_2/q_28.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 3","3.1","2b15d65f","469","A","Linear_Functions_3/q_01.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.2","be9cb6a2","421","D","Linear_Functions_3/q_02.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.3","b988eeec","244","-12","Linear_Functions_3/q_03.jpg","Linear Functions","Algebra","SPR"
"Linear Functions 3","3.4","af2ba762","485","D","Linear_Functions_3/q_04.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.5","16889ef3","538","C","Linear_Functions_3/q_05.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.6","6989c80a","419","A","Linear_Functions_3/q_06.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.7","78391fcc","613","B","Linear_Functions_3/q_07.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.8","a04050d8","682","B","Linear_Functions_3/q_08.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.9","daad7c32","486","D","Linear_Functions_3/q_09.jpg","Linear Functions","Algebra","MCQ"
"Linear Functions 3","3.10","023c0a8d","436","B","Linear_Functions_3/q_10.jpg","Linear Functions","Algebra","MCQ"
